NoRaw	Ru_PP	Br_PP	Uk_PP	Pl_PP	Cz_PP	Sk_PP	Sl_PP	Cr_PP	Sr_PP	Mk_PP	Bg_PP
109	от	NA	через	wskutek	na_z?klad?	NA	zaradi	zbog	NA	заради	поради
123	по	NA	з	z	NA	NA	iz	NA	zbog	од	от
127	от	NA	від	z	NA	z	od	od	od	од	от
132	из	NA	заради	z	z	NA	NA	za	za	за	заради
133	из	NA	через	z	z	z	zaradi	iz	iz	од	от
134	от	NA	від	z	INS	NA	od	od	od	од	от
137	от	NA	через	z	z	NA	zaradi	od	iz	од	NA
142	от	NA	від	z	INS	NA	od	od	od	од	от
143	из	NA	з	z	NA	NA	iz	iz	iz	од	NA
151	от	NA	з	z	z	NA	iz	NA	iz	од	от
152	от	NA	з	z	z	NA	iz	INS	iz	од	от
153	из	NA	через	przez	z	NA	iz	NA	iz	од	от
164	от	NA	від	z	INS	NA	od	od	NA	од	от
165	от	NA	від	z	INS	NA	od	od	NA	од	NA
170	из	NA	з	NA	z	NA	iz	iz	NA	од	от
171	из	NA	з	NA	z	NA	iz	iz	NA	од	от
174	от	NA	від	z	INS	NA	od	od	NA	од	NA
178	с	NA	з	z	z	NA	od	od	NA	од	от
180	с	NA	з	z	z	NA	iz	od	NA	од	от
189	из	NA	з	przez	z	NA	iz	iz	NA	од	от
191	от	NA	від	z	INS	NA	NA	od	NA	од	от
195	от	NA	від	z	INS	NA	od	NA	NA	од	от
197	из	NA	з	z	z	NA	NA	iz	NA	од	по
198	от	NA	від	z	INS	NA	od	od	NA	од	от
200	от	NA	від	z	INS	NA	NA	od	NA	од	от
201	от	NA	від	z	INS	NA	od	od	NA	од	от
202	из	NA	NA	z	z	NA	iz	iz	NA	од	от
209	от	NA	з	z	INS	od	od	od	od	од	от
213	от	NA	NA	INS	INS	NA	od	od	od	NA	от
214	от	NA	NA	z	NA	od	od	od	od	од	от
217	от	NA	з	z	INS	od	od	od	od	од	от
223	от	NA	від	z	NA	od	NA	od	od	од	от
237	от	NA	від	z	v	NA	NA	od	od	NA	от
241	от	NA	NA	NA	INS	od	od	od	od	од	от
246	от	ад	від	z	NA	od	od	od	od	од	от
247	из-за	з	через	z	NA	z	iz	zbog	zbog	од	от
248	от	ад	від	z	INS	od	od	od	od	од	от
249	от	ад	від	NA	INS	od	od	od	od	од	от
250	с	з	з	NA	INS	od	od	od	od	од	от
251	от	ад	від	NA	sINS	v	v	u	u	од	от
252	из-за	з-за	через	NA	pro	NA	zavoljo	zbog	zbog	поради	заради
253	из-за	з-за	через	z_powodu	vinou	NA	NA	zbog	zbog	поради	от
254	из-за	з-за	через	NA	kv?li	pre	NA	radi	zbog	заради	заради
255	из-за	з-за	за	NA	kv?li	pre	zaradi	zbog	zbog	поради	заради
257	из-за	NA	через	wskutek	pro	pre	zaradi	NA	zbog	поради	поради
258	из-за	з-за	через	przez	kv?li	pre	zaradi	NA	zbog	поради	заради
259	из-за	NA	NA	NA	pro	pre	zaradi	NA	od	од	поради
260	из-за	NA	через	przez	pro	pre	zaradi	NA	zbog	поради	поради
261	из-за	ад	NA	z_powodu	pro	z	zaradi	NA	zbog	поради	от
263	из-за	праз	через	dla	kv?li	pre	zaradi	NA	zbog	поради	заради
264	из-за	праз	через	przez	kv?li	pre	zaradi	NA	zbog	поради	заради
266	из	з	з	z	z	z	iz	NA	iz	од	от
267	из-за	праз	NA	przez	kv?li	pre	zaradi	NA	zbog	заради	заради
268	из-за	NA	NA	z_powodu	kv?li	pre	zaradi	NA	zbog	заради	заради
269	из-за	з-за	NA	ze_wzgl?du_na	NA	NA	zaradi	NA	zbog	поради	поради
270	из-за	NA	NA	ze_wzgl?du_na	kv?li	NA	zaradi	NA	zbog	поради	поради
273	из-за	з-за	через	przez	kv?li	pre	NA	NA	zbog	поради	заради
274	по	праз	через	przez	kv?li	pre	zaradi	NA	zbog	поради	заради
276	по	па	INS	INS	podle	pod?a	NA	NA	po	по	по
277	по	з-за	через	wskutek	pro	pre	zaradi	NA	zbog	поради	поради
278	по	па	з	z	z	z	iz	NA	od	од	от
279	по	па	з	przez	z	z	iz	NA	iz	од	по
281	от	ад	від	z	INS	INS	NA	NA	od	од	от
282	от	ад	від	z	INS	od	od	NA	od	од	от
283	от	ад	від	z	INS	od	od	NA	od	од	от
284	от	NA	від	NA	INS	od	od	NA	od	NA	от
285	от	ад	від	z	INS	od	od	NA	od	од	от
286	от	ад	від	od	od	od	od	NA	od	од	от
287	от	ад	від	z	INS	od	od	NA	od	од	от
288	от	NA	від	pod_wp?ywem	NA	od	zaradi	NA	od	од	от
289	от	ад	NA	pod_wp?ywem	pro	od	zaradi	NA	od	од	от
291	от	NA	INS	NA	INS	od	od	NA	od	од	от
292	от	NA	від	z	INS	od	od	NA	od	од	от
294	от	ад	від	z	INS	od	od	NA	od	од	от
295	от	ад	від	z	INS	od	od	NA	od	од	от
296	от	ад	від	INS	NA	od	od	NA	od	од	от
298	от	ад	від	z	INS	od	od	NA	od	од	от
299	от	ад	від	na	na	na	za	NA	od	од	от
300	от	ад	від	od	od	od	od	NA	od	од	от
301	от	ад	від	przez	INS	INS	zaradi	NA	NA	со	с
302	от	NA	від	od	NA	od	od	NA	od	од	от
304	от	NA	від	INS	INS	od	od	NA	od	од	от
305	от	NA	NA	NA	INS	od	zaradi	NA	od	од	от
306	от	ад	від	NA	INS	v	v	NA	od	од	от
307	от	ад	від	z	NA	INS	od	NA	od	од	от
308	от	ад	від	z	INS	od	od	NA	od	од	от
309	от	ад	від	z	INS	od	NA	NA	od	од	от
310	от	NA	з	pod_wp?ywem	NA	od	NA	NA	od	од	от
313	от	ад	від	z	INS	INS	od	NA	od	од	от
315	от	ад	від	z	INS	od	od	NA	od	од	от
316	от	ад	від	z	INS	od	od	NA	od	од	от
318	от	NA	від	z	INS	od	od	NA	od	од	от
319	от	ад	від	z	INS	od	od	NA	od	од	от
320	от	ад	від	z	INS	od	od	NA	od	од	от
321	от	ад	від	od	od	od	zaradi	NA	od	од	от
323	от	ад	NA	od	INS	od	od	NA	od	од	от
324	от	ад	від	z	INS	od	od	NA	od	од	от
326	от	NA	від	z	INS	od	od	NA	od	од	от
327	от	ад	від	od	od	od	od	NA	od	од	от
328	от	ад	від	od	INS	NA	NA	NA	od	од	от
330	от	ад	NA	od	pro	od	zaradi	NA	od	од	от
331	от	ад	від	z	INS	od	od	NA	od	од	от
333	от	ад	від	na_skutek	INS	od	zaradi	NA	od	од	от
334	от	з-за	від	z	z	z	zaradi	NA	od	од	от
337	от	NA	від	z	INS	od	od	NA	od	од	от
338	от	NA	NA	z	INS	od	zaradi	NA	od	од	от
340	от	ад	від	z	INS	od	od	NA	od	NA	от
341	от	NA	від	od	INS	INS	od	NA	od	од	от
343	от	ад	від	pod_wp?ywem	z	od	zaradi	NA	od	од	от
347	от	ад	від	NA	NA	od	zaradi	NA	od	од	от
348	от	ад	від	od	INS	od	zaradi	NA	od	од	от
352	от	ад	від	NA	z	od	zaradi	NA	od	од	от
353	от	ад	від	od	INS	NA	NA	NA	od	од	от
355	от	ад	від	z	INS	INS	od	NA	od	од	от
356	от	NA	від	INS	NA	od	od	NA	od	од	от
359	из-за	з-за	через	z	kv?li	pre	NA	zbog	od	од	от
360	из-за	з-за	через	z_powodu	kv?li	pre	NA	zbog	zbog	од	с
362	в_силу	з	NA	z	z	z	zaradi	NA	s	поради	по
363	в_силу	NA	завдйаки	dzi?ki	z	z	zaradi	NA	iz	од	от
366	по_причине	праз	через	wskutek	pro	pre	zaradi	NA	zbog	поради	поради
367	вследствие	ад	внаслідок	wskutek	NA	vzh?adom_na	zaradi	NA	usled	поради	поради
370	благодарйа	дзйакуючы	завдйаки	przez	INS	NA	NA	zbog	putem	NA	заради
371	благодарйа	дзйакуючы	NA	dzi?ki	INS	INS	sINS	INS	INS	со	NA
372	благодарйа	дзйакуючы	завдйаки	NA	z	na_z?klade	sINS	NA	iz	NA	NA
373	благодарйа	NA	NA	INS	INS	INS	NA	sINS	INS	со	с
374	благодарйа	дзйакуючы	завдйаки	wskutek	INS	NA	sINS	INS	INS	со	чрез
375	благодарйа	дзйакуючы	NA	w_wyniku	INS	INS	v	zbog	INS	низ	поради
376	благодарйа	дзйакуючы	завдйаки	dzi?ki	d?ky	v?aka	NA	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
377	благодарйа	дзйакуючы	через	wskutek	pro	NA	zaradi	zbog	zbog	NA	поради
378	благодарйа	дзйакуючы	NA	NA	INS	INS	sINS	INS	INS	со	с
379	благодарйа	дзйакуючы	завдйаки	dzi?ki	d?ky	v?aka	zaradi	zbog	zahvaljuju?i	благодарение_на	благодарение_на
380	благодарйа	дзйакуючы	завдйаки	poprzez	pro	NA	zaradi	kroz	kroz	низ	чрез
381	благодарйа	дзйакуючы	завдйаки	za_spraw?	prost?ednictv?m	skrz	skozi	posredovanjem	kroz	низ	чрез
382	благодарйа	праз	завдйаки	NA	INS	skrz	sINS	NA	zahvaljuju?i	NA	чрез
383	вследствие	з_прычыны	внаслідок	z_racji	pro	INS	NA	zbog	zbog	поради	поради
384	ввиду	з_прычыны	у_звйазку_з	z_powodu	kv?li	pre	zaradi	zbog	zbog	поради	поради
385	в_силу	з	з	z	z	z	iz	iz	iz	од	NA
386	из	з	завдйаки	przez	z	z	iz	iz	uz_pomo?	со	от
387	в_силу	з_прычыны	завдйаки	przez	z	z	iz	INS	INS	со	от
390	благодарйа	ў_выніку	через	NA	d?ky	NA	zahvaljujo?	zahvaljuju?i	zahvaljuju?i	поради	NA
391	благодарйа	дзйакуючы	завдйаки	NA	NA	NA	zahvaljujo?	zahvaljuju?i	zahvaljuju?i	благодарение_на	NA
392	благодарйа	дзйакуючы	завдйаки	NA	NA	v?aka	NA	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
393	благодарйа	дзйакуючы	завдйаки	NA	INS	v?aka	sINS	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
394	благодарйа	дзйакуючы	завдйаки	NA	z?sluhou	v?aka	zaradi	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
395	благодарйа	дзйакуючы	NA	NA	z?sluhou	NA	zahvaljujo?	zahvaljuju?i	zahvaljuju?i	благодарение_на	NA
396	благодарйа	дзйакуючы	завдйаки	NA	d?ky	NA	zaradi	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
397	в_результате	ў_выніку	внаслідок	NA	vlivem	v_d?sledku	spri?o	zbog	NA	поради	поради
400	благодарйа	дзйакуючы	завдйаки	NA	NA	NA	zaradi	zahvaljuju?i	zbog	поради	от
401	благодарйа	дзйакуючы	через	dzi?ki	z?sluhou	v?aka	po_zaslugi	zahvaljuju?i	zahvaljuju?i	поради	благодарение_на
402	благодарйа	з-за	завдйаки	dzi?ki	z	NA	sINS	zahvaljuju?i	zahvaljuju?i	благодарение_на	с
405	вследствие	ад	внаслідок	wskutek	n?sledkem	pod_vplyvom	NA	uslijed	od	NA	NA
406	вследствие	NA	через	w_zwi?zku_z	NA	NA	NA	zbog	zbog	поради	поради
408	в_силу	ў_выніку	з_оглйаду_на	w_zwi?zku_z	vzhledem_k	pre	na_podlagi	zbog	zbog	со_оглед_на	вследствие
409	под_влийанием	ад	від	pod_wp?ywem	NA	NA	iz	pod_utjecajem	pod_uticajem	под_влијание_на	под_въздействието_на
410	в_силу	з-за	від	z	NA	NA	iz	silom	pod_uticajem	поради	по_силата_на
414	благодарйа	NA	NA	dzi?ki	d?ky	NA	NA	posredstvom	zahvaljuju?i	благодарение_на	благодарение_на
417	благодарйа	NA	завдйаки	dzi?ki	d?ky	v?aka	NA	zahvaljuju?i	NA	заради	поради
418	благодарйа	NA	завдйаки	dzi?ki	NA	v?aka	po_zaslugi	zaslugom	zahvaljuju?i	благодарение_на	благодарение_на
423	благодарйа	NA	NA	przez	pomoc?	INS	prek	preko	posredstvom	низ	NA
424	благодарйа	NA	завдйаки	NA	z	z	po	INS	NA	NA	по
427	благодарйа	NA	завдйаки	przez	d?ky	z	NA	NA	NA	со_помош_на	по
435	благодарйа	NA	завдйаки	dzi?ki	s_pomoc?	NA	sINS	putem	zahvaljuju?i	NA	с
436	благодарйа	NA	завдйаки	dzi?ki	d?ky	v?aka	po_zaslugi	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
437	благодарйа	NA	NA	przez	NA	z	spri?o	NA	usled	благодарение_на	благодарение_на
439	благодарйа	NA	завдйаки	dzi?ki	d?ky	v?aka	po_zaslugi	zahvaljuju?i	zahvaljuju?i	благодарение_на	благодарение_на
442	благодарйа	NA	на_основі	NA	na_z?klad?	pod?a	po	kroz	NA	врз_основа_на	NA
445	по_причине	NA	через	z_przyczyny	vinou	pre	zaradi	zbog	usled	NA	NA
451	в_силу	NA	через	z	z	z	iz	iz	iz	од	поради
452	в_силу	NA	з_оглйаду_на	na_mocy	z	z	NA	NA	iz	следствено	поради
456	в_силу	NA	NA	z_powodu	INS	INS	NA	INS	NA	од	от
457	в_силу	NA	NA	z_powodu	INS	INS	NA	INS	NA	од	от
