NoRaw	Source	Cause	Ru_verb	Ru_yes_no	Ru_Class	Ru_PP	Ru_N	Russian	Br_yes_no	Br_Class	Br_PP	Br_NP	Belarusian	Uk_yes_no	Uk_Class	Uk_PP	Uk_NP	Ukrainian	Pl_yes_no	Pl_Class	Pl_PP	Pl_NP	Polish	Cz_yes_no	Cz_Class	Cz_PP	Cz_NP	Czech	Sk_yes_no	Sk_Class	Sk_PP	Sk_NP	Slovak	Sl_yes_no	Sl_Class	Sl_PP	Sl_NP	Slovene	Cr_yes_no	Cr_Class	Cr_PP	Cr_NP	Croatian	Sr_yes_no	Sr_Class	Sr_PP	Sr_NP	Serbian	MK_yes_no	Mk_Class	Mk_PP	Mk_NP	Macedonian	Bg_yes_no	Bg_Class	Bg_PP	Bg_NP	Bulgarian	Total	Russian2	Ukrainian2	Polish2	Serbian2	German	Upper Sorbian	Slovak2	Croatian2
41	bulgakovmaster	д	стать грязно-бурым	1	ot	от	волнение	97588 Лица их стали грязно - бурыми от #волнения# , когда в зал влетела Маргарита со своею свитой , в которой откуда - то взялся Азазелло .	1	ot	ад	хвалявання	Твары іх зрабіліся чорна - рудымі ад хвалявання , калі ў залу ўляцела Маргарыта са сваёй світай , у якой аднекуль узяўся Азазела	1	ot	від	хвилювання	 Обличчя їхні стали брудно - бурими від I#хвилювання#I , коли в залу влетіла Марґарита зі своїм почтом , серед якого десь узявся Азазелло . 	1	iz	z	przejęcia	 Kiedy wleciała do sali Małgorzata ze swoją świtą , w której nie wiedzieć skąd znalazł się również Asasello , twarze Murzynów poszarzały z #przejęcia# . 	1	INS	INS	vzrušením	 Tváře jim I#vzrušením#I zpopelavěly , když do sálu vplula Markéta se svým doprovodem , k němuž se nepozorovaně připojil Azazelo . 	1	ot	od	vzrušenia	 Tváre im spopolaveli od I#vzrušenia#I , keď do dvorany vplávala Margaréta so svojou suitou , ku ktorej sa nebadane pripojil aj Azazelo . 	1	ot	od	razvnetosti	 Obrazi so jim postali umazano rjavi od O#razvnetosti#O , ko je v dvorano priletela Margareta s svojim spremstvom , v katerem se je od nekod znašel tudi Azazello . 	1	ot	od	uzbuđenja	 Njihova lica postala su prljavosmeđa od I#uzbuđenja#I kad je u dvoranu uletjela Margarita sa svojom pratnjom u kojoj se našao i Azazello . 	1	ot	od	uzbuđenja	 Lica im postadoše prljavo - crvena od I#uzbuđenja#I , kada u dvoranu ulete Margarita sa svojom svitom u kojoj se odnekud stvorio i Azazel . 	1	ot	од	возбудата	 Нивните лица станаа темноцрвени од #возбудата# кога Маргарита се појави во салата со својата свита , во која , којзнае од каде , се најде и Азазело . 	1	ot	от	вълнение	 Лицата им станаха мръснокафяви от I#вълнение#I , когато в залата влетя Маргарита със свитата си , към която се беше присъединил отнякъде , и Азазело . 	11	*	 Обличчя їхні стали брудно - бурими від I#збентеження#I , коли до залі влетіла Маргарита зі своїм почтом , у якому звідкись узявся Азазелло . 	 Kiedy Małgorzata wraz ze swą świtą , w której znalazł się też skądś Azazello , wpłynęła na salę , twarze Murzynów zszarzały z Z#emocji#Z . 	 Njihova lica postala su prijavornrka od I#uzbuđenja#I kada je u dvoranu uletela Margarita sa svojom pratnjom u kojoj se , odnekud , stvorio i Azazelo . 	*			
42	bulgakovmaster	д	вздрогнуть	1	ot	от	счастье	97793 Человек от #счастья# вздрогнул и левую руку приложил к груди , правой продолжая махать оркестру белым жезлом .	1	ot	ад	шчасця	Чалавек здрыгануўся ад шчасця і левую руку прытуліў да грудзей , а правай працягваў махаць аркестру белым жэзлам .	1	ot	від	щастя	 Чоловік від #щастя# скинувся і ліву руку приклав до грудей , правою і далі вимахуючи оркестрові білим берлом . 	1	iz	z	szczęścia	 Mężczyzna na podium zadrżał ze #szczęścia# i lewą dłoń przyłożył do piersi , prawą zaś , w której trzymał białą batutę , w dalszym ciągu wymachiwał . 	1	INS	INS	radostí	 Dirigent radostí #poskočil# , levou ruku položenou na prsa a pravou dirigoval vesele dál a mával bílou taktovkou . 	1	ot	od	šťastia	 Dirigent sa zachvel od #šťastia# , ľavú ruku si priložil k hrudi a pravou ďalej mával bielou taktovkou . 	1	v	v	sreči	 Mož je v sreči vzdrgetal in si položil A#levico#A na prsi , desnica pa je še naprej mahala z belo paličico orkestru . 	1	ot	od	sreće	 Čovjek je zadrhtao od #sreće# i stavio lijevu ruku na srce dok je desnom nastavio da bijelim žezlom maše orkestru . 	1	ot	od	sreće	 Čovek od #sreće# zadrhta i levu ruku prinese grudima , nastavljajući desnom da maše orkestru belim žezlom . 	1	ot	од	среќа	 Човекот затрепери од #среќа# и ја стави левата рака на градите , додека со десната продолжуваше да му мавта на оркестарот со бела палка . 	1	ot	от	щастие	 Човекът се разтрепери от #щастие# и притисна лява ръка към гърдите , а с дясната продължи да дирижира с бял жезъл оркестъра . 	11	*	 Чоловік від #щастя# здригнувся й ліву руку притулив до грудей , правою далі вимахуючи оркестрі білим жезлом . 	 Człowiek zadygotał ze #szczęścia# i przyłożywszy lewą rękę do serca wymachiwał nieustannie trzymaną w prawej białą pałeczką . 	 Čovek uzdrhta od #sreće# , levu ruku stavi na grudi , a desnom nastavi da uzmahuje orkestru belom palicom , - Malo je , malo - prošapta Korovjov - pogledajte levo , u prve violine i klimnite glavom tako da svako pomisli da ste upravo njega prepoznali . 	*			
43	bulgakovmaster	д	бледный	1	ot	от	волнение	98818 Супруга господина Жака уже становилась перед Маргаритою на одно колено и , бледная от #волнения# , целовала колено Маргариты .	1	ot	ад	хвалявання	Жонка пана Жака ўжо станавілася перад Маргарытай на адно калена і , пабялелая ад хвалявання , цалавала Маргарыціна калена	1	ot	від	хвилювання	 Дружина пана Жака вже вклякла перед Марґаритою і , збілівши від I#хвилювання#I , цілувала коліно Марґариті . 	1	iz	z	przejęcia	 Małżonka pana Jacques & ' ; a już przyklękła przed Małgorzatą na jedno kolano i - pobladła z #przejęcia# - całowała jej stopę . - Królowo . . . 	1	INS	INS	vzrušením	 Manželka pana Jacquese zatím poklekla před Markétou na jedno koleno a pobledlá I#vzrušením#I #jí# políbila nohu . 	1	ot	od	vzrušenia	 Manželka pána Jacqua medzitým už pokľakla pred Margarétou a , bledá od I#vzrušenia#I , pobozkala jej nohu . – Kráľovná . . 	1	ot	od	razvnetosti	 Žena gospoda Jacquesa se je spustila pred Margareto na koleno in ji — bleda od O#razvnetosti#O — poljubila nogo . » Kraljica ... 	1	ot	od	uzbuđenja	 Supruga gospodina Jacquesa već je kleknula pred Margaritom i – blijeda od I#uzbuđenja#I – ljubila Margaritinu nogu . – Kraljice . . . 	1	ot	od	uzbuđenja	 Supruga gospodina Žaka se već spustila na jedno koleno ispred Margarits i , bleda od I#uzbuđenja#I , celiva Margaritino koleno . 	1	ot	од	возбуда	 Сопругата на Жак веќе коленичеше пред Маргарита и , бледа од #возбуда# , и ја бакнуваше ногата . 	1	ot	от	вълнение	 Съпругата на господин Жак вече коленичеше , бледа от I#вълнение#I , пред Маргарита , и целуваше коляното й . 	11	*	 Дружина пана Жака вже ставала перед Маргаритою на одне коліно і , бліднучи від I#хвилювання#I , цілувала коліно Маргариті . 	 Małżonka pana Jacques'a przyklęknęła zaś przed Małgorzatą i blada z #przejęcia# pocałowała ją w kolano . — Królowo . . . 	 Supruga gospodina Žaka već se spuštala na koleno pred Margaritom i , bledeći od I#uzbuđenja#I , ljubila Margariti nogu . - Kraljice . . . 	*			
44	bulgakovmaster	д	подождать	1	iz	из	осторожность	100857 Из #осторожности# подождали еще немного .	0	?	\	?	На ўсякі выпадак пачакалі яшчэ некалькі хвілін	1	iz	з	обачності	 З O#обачності#O почекали ще трохи . 	0	?	\		 Na #wszelki# K#wypadek#K odczekali jeszcze chwilę . 	1	iz	z	opatrnosti	 -- -- -- -- Z O#opatrnosti#O ještě chvíli čekali , ale z krbu se nikdo nevyhoupl . 	1	pre	pre	istotu	 -- Pre #istotu# ešte chvíľu čakali , ale z kozuba už nikto nevyskočil . 	1	iz	iz	previdnosti	 Iz O#previdnosti#O so še malo počakali , vendar iz kamina ni bilo nikogar več . 	1	radi	radi	opreza	 #Opreza# #radi# , pričekali su još malo . 	1	radi	radi	opreznosti	 O#Opreznosti#O radi sačekali su još malo . 	1	ot	од	претпазливост	 Од O#претпазливост#O , почекаа уште малку . 	0	?	\		 За #всеки# #случай# изчакаха още малко . 	8	*	 З #обачности# почекали ще трохи . 	 Na #wszelki# K#wypadek#K poczekali jeszcze trochę . 	 Iz O#opreznosti#O , sačekali su još malo . 	*			
45	bulgakovmaster	д	заплакать	1	ot	от	боль	100894 Через секунду , не понимая , как это случилось , Маргарита оказалась в той же комнате с бассейном и там , сразу заплакав от #боли# в руке и ноге , повалилась прямо на пол .	1	ot	ад	болю	Праз секунду , Маргарыта і не памятала , як гэта здарылася , яна апынулася ў тым самым пакоі з басейнам і там заплакала ад болю ў руцэ і ў назе , упала проста на падлогу 	1	ot	від	болю	 Через секунду , не втямивши , як це подіялось , Марґарита опинилася в тій самій кімнаті з басейном , і там , тієї ж миті зайшовшись плачем від #болю# в руці та нозі , впала просто на підлогу . 	0	?	\		 W sekundę później Małgorzata nie rozumiejąc , jak to się stało , znalazła się znowu w komnacie , w której był basen , zapłakała , tak bardzo bolała ją U#ręka#U i noga , i upadła wprost na posadzkę . 	1	INS	INS	bolestí	 Sklesla rovnou na podlahu a vzlykala #bolestí# , která se zahnízdila v ruce i v noze . 	1	ot	od	bolesti	 Hneď sa rozplakala od #bolesti# v ruke i nohe a zvalila sa rovno na zem . 	1	ot	od	bolečine	 Malo nato se je Margareta , ne da bi vedela , kako se je to zgodilo , znašla v isti sobi z bazenom , in tam se je mahoma zgrudila na tla in zajokala od #bolečine# v roki in nogi . 	1	ot	od	boli	 Kroz sekundu , ne shvaćajući kako se to desilo , Margarita se našla u . onoj sobi s bazenom i tamo se , odmah zaplakavši od #boli# u ruci i nozi , svalila ravno na pod . 	1	ot	od	bola	 Kroz koji tren , ne shvatajući kako se to desilo , Margarita se našla u onoj istoj odaji sa bazenom i tamo se , zaplakavši odmah od #bola# u ruci i nozi , sručila pravo na pod . 	1	ot	од	болка	 По еден миг , не знаејќи како се случи тоа , Маргарита се најде во одајата со базенот и таму , липајќи од U#болка#U во раката и ногата , падна на подот . 	1	ot	от	болките	 След секунда , без да проумее как беше станало , Маргарита се озова отново в стаята с басейна , там веднага се разплака от U#болките#U в ръката и в крака и се строполи право на пода . 	10	*	 За мить , не втямивши , як це сталося , Маргарита опинилася в тій самій кімнаті з басейном і там , відразу заплакавши від #болю# в руці та нозі , звалилася просто на підлогу . 	 W chwilę później , nie wiedząc jak , Małgorzata znalazła się znowu w pokoju z basenikiem i tam , zdjęta #bólem# ręki i nogi , runęła z płaczem na podłogę . 	 Posle jedne sekunde , ne shvatajući kako se to desilo , Margarita se našla u istoj onoj sobi sa bazenom i tamo se odmah , zaplakavši od #bola# u ruci i nozi , sručila direktno na pod . 	*			
46	bulgakovmaster	д	шатать	1	ot	от	волнение	102133 гостя буквально шатало от #волнения# , что было видно даже издали .	1	ot	ад	хвалявання	госць ажно хістаўся ад хвалявання , і гэта было прыкметна здалёк	1	ot	від	хвилювання	 гостя аж хитало від I#хвилювання#I , що добачалось уже здалеку . 	0	?	\	przerażenia	 Spośród mnóstwa pozostałych gości - mężczyzn zewnętrznie nie wyróżniał się niczym , poza jedną rzeczą - dosłownie chwiał się z #przerażenia# , co było widać nawet z daleka . 	1	INS	INS	rozčilením	 Na první pohled se ničím nelišil od mnoha dalších členů téhle společnosti , ale jedno bylo na něm nápadné : už z dálky jste mohli sledovat , jak I#rozčilením#I vrávorá . 	1	ot	od	vzrušenia	 od I#vzrušenia#I sa doslova tackal , bolo to vidieť už zďaleka . 	1	ot	od	razburjenja	 Na zunaj se z ničimer ni razločeval od mnogoštevilnih drugih moških gostov , razen v enem : gost se je dobesedno majal od I#razburjenja#I , to se je videlo že od daleč . 	1	ot	od	uzbuđenja	 gost je doslovce teturao od I#uzbuđenja#I , što se vidjelo još izdaleka . 	1	ot	od	uzbuđenja	 gost se doslovno zanosio od I#uzbuđenja#I , što se videlo čak i iz daljine . 	1	ot	од	вознемиреност	 гостинот буквално се клатеше од O#вознемиреност#O , и тоа се гледаше оддалеку . 	1	ot	от	вълнение	 гостенинът просто се олюляваше от I#вълнение#I и това личеше дори отдалеч . 	10	*	 Зовнішньо він нічим не відрізнявся від численної решти гостей - чоловіків , крім одного : гостя дослівно хиляло від I#хвилювання#I , що видно було навіть здалік . 	 Zewnętrznie nie odróżniał się niczym od pozostałych gości płci męskiej , prócz tego , że dosłownie zataczał się ze #zdenerwowania# , co było widać nawet z daleka . 	 gost je bukvalno posrtao od I#uzbuđenja#I , što se videlo čak i izdaleka . 	*			
47	bulgakovmaster	д	подпрыгнуть	1	ot	от	обида	102994 Кот подпрыгнул на стуле от #обиды# .	1	ot	ад	крыўды	Кот ажно падскочыў на крэсле ад крыўды	1	ot	від	обурення	 Кіт підскочив на стільці від I#обурення#I . 	0	?	\		 Kot poczuł #się# #dotknięty# i aż podskoczył na krześle . 	0	?	\		 Kňour #uraženě# poskočil na židli . 	1	ot	od	urážky	 Kocúr od U#urážky#U nadskočil na stoličke . 	1	ot	od	užaljenosti	 Maček je poskočil na stolu od O#užaljenosti#O . 	1	ot	od	uvrede	 Mačak je skočio na stolici od #uvrede# . 	0	?	\	?	 Mačak uvređeno poskoči na stolici . 	1	ot	од	навреда	 Мачорот потскокна на столот од #навреда# . 	1	ot	от	обида	 Котаракът подскочи на стола от #обида# . 	8	*	 Кіт підскочив на стільці з #образи# . 	 Urażony kot aż podskoczył na krześle . 	 Mačak od #uvrede# podskoči na stolici . 	*			
48	bulgakovmaster	д	трястись	1	ot	от	страх	108035 От #страху# этот человек трясся и приседал .	1	ot	ад	страху	Ад страху гэты чалавек калаціўся і прысядаў	1	ot	від	страху	 Від #страху# цей чоловік трясся і присідав . 	1	iz	z	strachu	 Trząsł się i kucał ze #strachu# . 	0	?	*		 Na hlavě měl AZ#čepici#AZ a v ruce třímal kufr . 	1	ot	od	strachu	 Triasol sa od #strachu# #ako# osika a krčil sa do drepu . 	1	ot	od	strahu	 Od #strahu# se je tresel in počepal . 	1	ot	od	straha	 Od #straha# taj je čovjek drhturio i koljena su mu klecala . 	1	ot	od	straha	 Od #straha# , taj se čovek stalno tresao i klanjao . 	1	ot	од	страв	 Човеков трепереше и потклекнуваше од #страв# . 	1	ot	от	страх	 От #страх# човекът се тресеше целият и приклякаше . 	10	*	 Від #страху# цей чоловік тремтів й присідав . 	 Przybysz dygotał i przysiadał ze #strachu# . 	 Taj čovek se od #straha# tresao i noge su mu klecale . 	*			
49	bulgakovmaster	д	помутиться	1	ot	от	радость	109353 От #радости# все помутилось в голове у Варенухи , лицо его засияло , и он , не помня , что говорит , забормотал :	1	ot	ад	радасці	Ад радасці ў галаве ў Варэнухі ўсё змяшалася , але твар засвяціўся , і ён , ужо не памятаючы , што гаворыць , мармытаў	1	ot	від	радості	 Від O#радості#O в голові у Варенухи замакітрилося , обличчя його засяяло , і він , не тямлячи , що каже , забелькотів : 	1	iz	z	radości	 Warionusze z O#radości#O zamąciło się w głowie , twarz mu się rozpromieniła i , ogłupiały , zaczął mamrotać : 	1	INS	INS	radostí	 -- -- -- -- -- Varenuchovi ze samé O#radosti#O přeskočilo , celý se rozzářil a nevěděl , co mluví : 	1	ot	od	radosti	 Varenuchovi sa od O#radosti#O všetko v hlave pomútilo , tvár mu zažiarila , ani sám nevedel , čo vraví : 	1	ot	od	veselja	 « Varenuhi se je od #veselja# vse zmedlo v glavi , obraz mu je zasijal , in ne zavedajoč se , kaj govori , je zamomljal : » Pri vsemogočnem ... 	1	ot	od	radosti	 Od O#radosti#O se sve pomiješalo u Varenuhinoj glavi , njegovo je lice zasjalo , i on je , ne znajući što govori , promrmljao : 	1	ot	od	radosti	 U Varenuhinoj se glavi sve zbrka od O#radosti#O , lice mu sinu i on ne shvatajući šta govori , stade da mrmlja : 	1	ot	од	радост	 Во главата на Варенуха се се замати од O#радост#O , лицето му светна , и тој , несвесен за тоа што зборува , почна да мрмори : 	1	ot	от	радост	 От O#радост#O Варенуха загуби ума и дума , засия и без да си дава сметка какво говори , заломоти : 	11	*	 З #радости# усе скаламутилося в голові Варенусі , обличчя йому засяяло , й він , не розуміючи , що каже , забурмотів : 	 W głowie uradowanego Warionuchy zapanował kompletny zamęt , twarz mu się rozjaśniła i zamamrotał nie wiedząc , co mówi : — #Bóg# mi świad . . . to jest chciał em powiedzieć , wasza wyso . . . zaraz po obiedzie . . . 	 U Varenuhinoj glavi sve se pomuti od O#radosti#O , lice mu sinu i on , ne žnajući šta govori , poče da mrmlja : 	*			
51	bulgakovmaster	д	тяжело дышать	1	ot	от	волнение	117464 Едва не сбив с ног какого - то прохожего с кувшином в руках , молодой человек догнал женщину и , тяжело дыша от #волнения# , окликнул ее :	1	ot	ад	хвалявання	Ён ледзь не збіў з ног нейкага мінака са збаном у руках , дагнаў жанчыну , цяжка дыхаючы ад хвалявання , паклікаў яе	1	ot	від	хвилювання	 Мало не збивши з ніг якогось перехожого з глеком у руках , молодик наздогнав жінку і , важко переводячи подих від I#хвилювання#I , покликав її : 	0	?	\		 O mało nie przewróciwszy jakiegoś niosącego dzban przechodnia dogonił kobietę i ciężko dysząc z I#podnieceniem#I zawołał : 	1	INS	INS	vzrušením	 Pak se pustil za ní a ve spěchu málem porazil neznámého muže se džbánem v rukou . Dohnal uprchlici , I#vzrušením#I nemohl popadnout dech a zavolal : 	1	ot	od	vzrušenia	 Div nezvalil akéhosi chodca s krčahom v ruke , tak sa ponáhľal , až ju konečne dohonil a zavolal na ňu , zadychčaný od I#vzrušenia#I : 	1	ot	od	razburjenosti	 Ko bi bil skoraj prevrnil nekega mimoidočega z vrčem v rokah , je dohitel žensko in ji zaklical , težko dihaje od O#razburjenosti#O : » Niza ! 	1	ot	od	uzbuđenja	 Gotovo oborivši nekakvog prolaznika s krčagom u ruci , mladić je dostigao ženu i teško dišući od I#uzbuđenja#I doviknuo joj : 	1	ot	od	uzbuđenja	 Umalo ne oborivši nekog prolaznika sa krčagom u ruci , mladić sustiže ženu i pozva je teško dišući od I#uzbuđenja#I : 	1	ot	од	возбуда	 Откако за малку не го собори минувачот со бокал в раце , младичот ја стаса жената и , тешко дишејќи од #возбуда# , ја викна : 	1	ot	от	вълнение	 Едва не събори някакъв минувач с делва в ръцете , стигна жената и задъхан от I#вълнение#I я повика : 	10	*	 Мало не збивши з ніг якогось перехожого з глеком в руках , молодий чоловік наздогнав жінку , і , тяжко дихаючи від I#збентеження#I , озвав її : 	 O mało nie przewracając jakiegoś przechodnia z dzbanem w rękach dogonił kobietę i dysząc z #podniecenia# zawołał : — Nisa ! 	 Li malo ne oborivši nekakvog prolaznika s krčagom u ruci , mladić sustiže ženu i , dišući teško od I#uzbuđenja#I , pozva je : 	*			
52	bulgakovmaster	д	рассмеяться	1	ot	от	счастье	119659 Он даже рассмеялся во сне от #счастья# , до того все сложилось прекрасно и неповторимо на прозрачной голубой дороге .	1	ot	ад	шчасця	Ён спрасонку нават засмяяўся ад шчасця , што ўсё атрымалася гэтак цудоўна і непаўторна на празрыстай блакітнай дарозе	1	ot	від	щастя	 Він навіть розсміявся уві сні від #щастя# , так - бо все склалося чудово і неповторно на прозорій блакитнявій дорозі . 	0	?	\		 Aż się roześmiał przez sen , uszczęśliwiony , #że# tak piękne i niepowtarzalne było wszystko na tej przejrzystej niebieskiej drodze . 	0	?	\		 Dokonce se ve snu šťastně rozesmál , jak se všecko krásně a neopakovatelně seběhlo na #téhle# průzračné modravé cestě . 	0	?	\		 Až sa v spánku šťastne rozosmial , také bolo všetko #nádherné# a jedinečné na tej priezračnej belasej ceste . 	1	ot	od	sreče	 Celo zasmejal se je v spanju od #sreče# , tako imenitno in enkratno je bilo vse na tej prozorni modri poti . 	1	ot	od	sreće	 On se čak u snu nasmijao od #sreće# , tako je sve bilo lijepo i neponovljivo na prozimom plavom putu . 	1	ot	od	radosti	 Čak se i nasmejao u snu od O#radosti#O , do te je mere sve bilo divno i neponovljivo na prozračnom plavom putu . 	1	ot	од	среќа	 Тој дури и се насмеа насон од #среќа# , толку беше се неповторливо убаво на проѕирниот син пат . 	1	ot	от	щастие	 Той чак се засмя насън от #щастие# , така прекрасно и неповторимо беше всичко по прозрачния небесносин път . 	8	*	 Він навіть розсміявся уві сні від #щастя# , так усе склалося чудово й неповторно на просвітчастій блакитній дорозі . 	 Roześmiał się nawet we śnie ze #szczęścia# , bo na przejrzystej drodze przez błękit wszystko stawało się piękne i niepowtarzalne . 	 Čak se i zasmeja u snu od #sreće# , tako se sve beše divno i neponovljivo steklo na prozračnom plavom putu . 	*			
53	bulgakovmaster	д	плакать и смеяться	1	ot	от	радость	120084 И , заручившись во сне кивком идущего рядом с ним нищего из Эн - Сарида , жестокий прокуратор Иудеи от #радости# плакал и смеялся во сне .	0	?	0	?	І пасля таго як старац - спадарожнік з Эн - Сарыда даў згоду кіўком галавы , жорсткі пракуратар Юдэі плакаў і смяяўся скрозь сон	1	ot	від	радості	 І , забезпечившись кивком злидаря з Ен - Сарида , який крокував поруч з ним , жорстокий прокуратор Іудеї від O#радості#O плакав і сміявсь уві сні . 	1	iz	z	radości	 I spostrzegłszy we śnie skinienie idącego obok niego nędzarza z En Sarid , skinienie , które było zapewnieniem , surowy procurator Judei z O#radości#O śmiał się i płakał przez sen . 	1	INS	INS	radostí	 A když ho žebrák z Oiin-Saridu , který kráčel po jeho boku , ujistil pokynem hlavy , že nezapomene , krutý vladař Judeje se O#radostí#O smál i plakal zároveň . 	1	ot	od	radosti	 A keď ho žobrák z Ain - Saridu , ktorý kráčal po jeho boku , ubezpečil kývnutím hlavy , že nezabudne , krutý miestodržiteľ Judska sa od O#radosti#O smial i plakal . 	1	ot	od	veselja	 In ko je grozoviti prokurator Judeje v sanjah videl , kako je berač iz En-Sarida , ki je stopal ob njem , prikimal , se je od #veselja# jokal in smejal v spanju . 	1	ot	od	radosti	 I nakon što je prosjak iz En - Sarida koji je išao kraj njega kimnuo u znak obećanja , okrutni prokurator Judeje od O#radosti#O je plakao i smijao se u snu . 	1	ot	od	radosti	 I obezbedivši se u snu klimanjem glave prosjaka iz En - Sarida što koračaše kraj njega , surovi prokurator Judeje od O#radosti#O je plakao i smejao se u snu . 	1	ot	од	радост	 И откако насон , со кимнување на главата се посврши со питачот од Ен - Сарид што одеше покрај него , суровиот прокуратор на Јудеја насон се смееше и плачеше од O#радост#O . 	1	ot	от	радост	 И успокоен от кимването на крачещия редом с него просяк от Ен - Сарид , жестокият прокуратор на Иудея от O#радост#O плачеше и се смееше насън . 	10	*	 І , заручившись уві сні кивком жебрака з Ен-Сарида , що йшов поруч із ним , жорстокий прокуратор Юдеї з #радощів# плакав і сміявся уві сні . 	 I otrzymawszy we śnie potwierdzające skinienie głowy nędzarza z En Sarid , okrutny namiestnik Judei z O#radości#O śmiał się i płakał . 	 I , dobivši u snu jamstvo klimanjem glave , potvrdan znak od prosjaka iz En - Sarida , koji je išao naporedo s njim , surovi prokurator Judeje plakao je od O#radosti#O i smejao se kroza san . 	*			
